Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
200,Coastal Car,SB,18-17,-2.76,102.4,105.2,68.4,0.034,-1.33,104.2,105.5,1.3
201,Indiana St,MVC,11-20,-2.8,99.9,102.7,69.5,-0.009,2.52,105.4,102.9,1.77
202,UTEP,CUSA,15-17,-2.98,100.0,103.0,66.1,-0.035,-3.49,103.2,106.6,-2.76
203,Morehead St,OVC,14-16,-3.01,107.1,110.1,68.4,-0.005,-0.89,105.5,106.4,4.54
204,Fordham,A10,13-19,-3.07,97.2,100.3,64.1,-0.023,0.92,105.1,104.2,-3.19
205,Liberty,BSth,21-13,-3.21,100.4,103.6,62.6,0.045,-6.23,102.3,108.5,3.1
206,Navy,Pat,16-16,-3.41,100.2,103.6,64.0,-0.012,-4.05,101.9,105.9,-2.99
207,N Illinois,MAC,15-17,-3.42,99.3,102.7,66.6,-0.038,-2.38,104.5,106.8,-5.43
208,Fairfield,MAAC,16-15,-3.59,99.9,103.5,69.1,0.038,-3.05,104.0,107.1,-2.5
209,Mt St Mary's,NEC,20-16,-3.84,99.8,103.7,66.7,0.074,-4.39,102.3,106.7,11.7
210,TN Martin,OVC,22-13,-3.86,107.1,110.9,67.4,0.118,-4.33,103.2,107.5,-2.3
211,Stony Brook,AE,18-14,-3.98,102.2,106.2,65.7,0.05,-5.66,102.3,108.0,-3.18
212,Rider,MAAC,18-15,-4.0,101.0,105.0,72.1,0.047,-4.63,102.8,107.4,-5.94
213,TX Southern,SWAC,23-12,-4.05,103.8,107.8,68.5,0.125,-8.4,100.5,108.9,12.76
214,Idaho,BSky,19-13,-4.1,102.3,106.4,66.3,0.038,-6.29,102.8,109.1,-1.29
215,Holy Cross,Pat,15-17,-4.31,99.0,103.3,60.2,0.022,-2.98,102.3,105.3,0.14
216,San Jose St,MWC,14-16,-4.31,100.6,104.9,70.5,0.077,1.06,105.6,104.5,-4.31
217,Bradley,MVC,13-20,-4.32,98.8,103.1,67.4,0.018,2.45,106.2,103.7,0.49
218,Missouri KC,WAC,18-17,-4.41,103.4,107.8,70.5,0.065,-1.53,103.8,105.3,0.74
219,UC Davis,BW,23-13,-4.43,98.1,102.6,68.7,0.131,-5.24,101.2,106.4,-0.85
220,E Illinois,OVC,14-15,-4.76,100.5,105.2,68.5,-0.049,-4.81,103.1,107.9,-3.16
221,James Madison,CAA,10-23,-5.26,99.1,104.4,63.8,-0.065,-0.71,106.2,107.0,-2.71
222,Duquesne,A10,10-22,-5.3,102.3,107.6,69.8,-0.075,-1.17,103.4,104.6,-8.1
223,Air Force,MWC,12-21,-5.44,104.5,110.0,66.9,-0.065,0.13,104.6,104.5,-6.0
224,Houston Bap,Slnd,17-14,-5.5,105.2,110.7,70.2,0.052,-3.89,102.9,106.7,13.57
225,Long Beach St,BW,15-19,-5.51,104.9,110.4,69.4,0.036,-1.6,103.3,104.9,12.59
226,Loyola MD,Pat,16-17,-5.79,98.7,104.5,66.0,0.067,-3.02,102.4,105.4,0.23
227,SE Missouri St,OVC,15-18,-5.83,103.8,109.6,68.4,-0.038,-4.32,103.5,107.8,-2.83
228,Lamar,Slnd,19-15,-5.92,103.2,109.2,68.0,-0.014,-7.32,100.4,107.7,-3.72
229,C Michigan,MAC,16-16,-5.95,111.9,117.9,75.1,0.053,-2.07,103.5,105.6,-5.32
230,Army,Pat,13-19,-6.09,98.9,105.0,71.2,-0.063,-4.53,101.7,106.3,-4.01
231,Oral Roberts,Sum,8-22,-6.12,104.8,110.9,68.9,-0.077,2.1,107.4,105.3,8.74
232,IL Chicago,Horz,17-18,-6.14,101.3,107.5,71.8,0.019,-4.21,102.0,106.2,-5.18
233,WKU,CUSA,15-17,-6.17,103.2,109.4,65.7,0.048,-3.15,103.3,106.4,-3.6
234,Columbia,Ivy,11-16,-6.27,101.4,107.7,68.8,-0.022,-3.29,103.0,106.3,-3.93
235,Charlotte,CUSA,13-17,-6.35,103.5,109.9,72.6,0.033,-2.01,103.6,105.6,1.83
236,SE Louisiana,Slnd,16-16,-6.37,97.9,104.3,66.9,-0.054,-7.79,101.2,109.0,-3.56
237,Montana St,BSky,16-16,-6.47,103.4,109.9,69.1,-0.025,-6.57,103.7,110.3,-2.83
238,Portland St,BSky,15-16,-6.48,104.7,111.2,72.4,-0.057,-6.43,102.2,108.7,-0.07
239,Sam Houston St,Slnd,21-13,-6.51,97.4,103.9,69.9,0.101,-6.71,101.5,108.2,2.87
240,Cleveland St,Horz,9-22,-6.56,96.9,103.4,65.2,-0.09,-0.93,105.2,106.1,5.0
241,South Alabama,SB,14-18,-6.58,99.2,105.8,69.5,0.012,-2.5,104.1,106.6,-5.85
242,Tulane,Amer,6-25,-6.61,102.9,109.5,70.3,-0.075,3.47,105.4,101.9,-1.33
