Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS AdjEM
193,Montana 16,BSky,18-13,-2.61,96.3,98.9,71,0.051,-4.53,97.2,101.7,2.83
194,Binghamton,AE,12-17,-2.64,94.7,97.3,66.4,-0.049,-1.7,97.9,99.6,1.56
195,Tennessee St.,OVC,14-17,-2.86,101.2,104,72.1,0.014,-0.09,100.7,100.8,9.01
196,East Carolina,CUSA,9-19,-2.91,93.9,96.8,69.3,-0.022,6.42,102.9,96.4,4.76
197,Valparaiso,MCon,15-16,-2.92,100.4,103.3,68.9,0.067,-0.99,100.4,101.4,5.17
198,South Carolina St.,MEAC,18-12,-3.02,95.2,98.2,66.9,-0.065,-12.9,91.1,104,-9.09
199,Furman,SC,16-13,-3.04,98.3,101.3,66.5,-0.014,-3.89,97.1,101,1.14
200,UTSA,Slnd,15-13,-3.24,96.2,99.4,76.3,-0.007,-3.95,97.6,101.5,2.2
201,FIU,SB,13-17,-3.6,93.9,97.5,69.9,0.038,1.11,100.8,99.7,1.39
202,Marshall,MAC,6-22,-3.84,100.2,104,68.4,0.007,5.02,103.2,98.2,3.61
203,Yale,Ivy,11-16,-4.02,95.4,99.5,69.4,-0.026,-2.64,98.3,100.9,0.46
204,Cleveland St.,Horz,9-17,-4.12,96.4,100.5,71,-0.095,0.36,100.4,100.1,1.15
205,Georgia,SEC,8-20,-4.53,90.3,94.9,67.6,-0.009,8.13,103.6,95.5,-3.22
206,Western Illinois,MCon,11-17,-4.59,95.8,100.4,67.2,-0.055,-1.43,101.1,102.6,3.67
207,North Texas,SB,14-14,-4.67,96.5,101.2,74.3,0.067,-0.51,99.5,100,-1.1
208,UNC Greensboro,SC,18-12,-4.87,94.8,99.7,72.9,0.139,-3.62,97.1,100.7,3.23
209,Delaware St. 16,MEAC,19-14,-4.92,98.9,103.8,61.9,0.077,-8.44,93.2,101.7,4.84
210,Gardner Webb,ASun,18-12,-5,94.3,99.3,70.6,0.002,-8.57,95.9,104.5,2.47
211,Lehigh,Pat,14-15,-5,90.4,95.4,67.6,-0.048,-7.25,94.8,102,-8.59
212,Portland St.,BSky,19-9,-5.03,95.7,100.7,72,0.07,-9.78,94.2,104,-9.99
