Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,Season,Team_Id,Team_Name
95.0,Kent,MAC,20-10,6.38,107.7,101.3,69.8,0.023,0.55,101.1,100.6,2.91,2003.0,1245,Kent
99.0,Miami FL,BE,11-17,6.06,99.4,93.3,69.9,-0.12,6.84,101.9,95.1,-3.09,2003.0,1274,Miami FL
100.0,Troy,ASun,25-6,6.04,103.3,97.3,73.4,0.104,-5.95,96.3,102.3,-4.82,2003.0,1407,Troy
104.0,Baylor,B12,14-14,5.8,103.5,97.7,68.7,-0.005,6.2,101.3,95.1,-8.67,2003.0,1124,Baylor
107.0,UCLA,P10,10-19,5.37,104.1,98.7,73.0,-0.064,9.85,104.6,94.7,7.84,2003.0,1417,UCLA
112.0,West Virginia,BE,14-15,4.67,101.4,96.7,68.1,0.054,8.03,103.5,95.5,-1.73,2003.0,1452,West Virginia
116.0,Rhode Island,A10,19-12,4.29,98.1,93.9,71.9,0.113,3.93,102.1,98.1,1.41,2003.0,1348,Rhode Island
120.0,VA Commonwealth,CAA,18-10,3.99,100.2,96.2,72.1,-0.009,-3.04,96.6,99.7,-3.1,2003.0,1433,VA Commonwealth
126.0,MTSU,SB,14-14,3.26,100.6,97.3,68.8,-0.006,1.7,100.6,98.9,1.31,2003.0,1292,MTSU
132.0,Wichita St,MVC,18-12,3.01,104.8,101.8,70.5,0.05,0.58,99.3,98.7,-3.22,2003.0,1455,Wichita St
133.0,Princeton,Ivy,15-11,3.0,106.5,103.5,62.6,-0.027,-2.91,97.0,99.9,1.15,2003.0,1343,Princeton
134.0,Arkansas,SEC,9-19,2.85,95.1,92.3,68.9,-0.039,11.12,105.2,94.0,3.92,2003.0,1116,Arkansas
140.0,SMU,WAC,17-13,2.37,100.8,98.4,71.6,0.069,1.37,100.1,98.8,3.17,2003.0,1374,SMU
141.0,Virginia Tech,BE,11-18,2.26,102.6,100.4,70.1,-0.045,6.67,102.9,96.2,-1.99,2003.0,1439,Virginia Tech
142.0,St Mary's CA,WCC,14-15,2.07,94.7,92.6,69.6,-0.044,1.02,100.5,99.5,0.22,2003.0,1388,St Mary's CA
147.0,ETSU,SC,17-11,1.7,98.3,96.6,78.2,0.036,-2.49,99.4,101.9,2.07,2003.0,1190,ETSU
150.0,Vermont,AE,19-11,1.61,98.0,96.3,67.4,0.02,-5.84,96.6,102.4,-4.09,2003.0,1436,Vermont
160.0,Iona,MAAC,17-12,0.46,98.8,98.4,72.3,-0.033,-4.32,98.0,102.3,-3.82,2003.0,1233,Iona
167.0,Northwestern,B10,12-17,-0.01,100.5,100.5,64.5,-0.002,6.42,102.6,96.2,-6.13,2003.0,1321,Northwestern
304.0,Northwestern,Slnd,6-21,-16.47,81.8,98.3,74.1,-0.001,-6.42,96.0,102.4,-2.41,2003.0,1321,Northwestern
172.0,New Orleans,SB,13-14,-0.53,98.6,99.2,69.5,0.006,-0.08,99.8,99.9,-2.64,2003.0,1309,New Orleans
191.0,Jacksonville St,ASun,19-10,-2.61,100.6,103.2,71.6,0.064,-8.09,95.2,103.3,-8.9,2003.0,1240,Jacksonville St
