Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM,Season,Team_Id,Team_Name
7.0,Kentucky,SEC,29-9,25.26,113.9,88.6,67.8,-0.043,9.96,104.9,94.9,6.59,2011.0,1246,Kentucky
9.0,Purdue,B10,26-8,24.2,111.5,87.3,68.5,0.008,10.63,105.6,94.9,2.88,2011.0,1345,Purdue
12.0,Notre Dame,BE,27-7,22.69,116.4,93.7,66.0,0.074,10.99,105.4,94.4,0.38,2011.0,1323,Notre Dame
14.0,Louisville,BE,25-10,21.87,108.1,86.2,69.2,-0.037,10.05,105.5,95.4,-0.6,2011.0,1257,Louisville
15.0,North Carolina,ACC,29-8,21.68,107.6,86.0,74.0,0.064,11.66,106.7,95.1,7.52,2011.0,1314,North Carolina
17.0,Florida,SEC,29-8,20.13,111.2,91.1,65.7,0.037,8.53,103.8,95.2,3.95,2011.0,1196,Florida
19.0,West Virginia,BE,21-12,19.65,110.3,90.7,65.9,-0.018,12.92,107.7,94.7,8.51,2011.0,1452,West Virginia
20.0,Arizona,P10,30-8,19.24,113.4,94.1,68.5,0.065,8.08,104.5,96.4,2.27,2011.0,1112,Arizona
21.0,Cincinnati,BE,26-9,19.02,106.9,87.9,65.2,0.041,7.3,103.9,96.6,-5.93,2011.0,1153,Cincinnati
26.0,Marquette,BE,22-15,17.7,111.5,93.8,69.2,-0.057,11.29,106.1,94.8,-2.53,2011.0,1266,Marquette
27.0,Wichita St,MVC,29-8,17.55,109.6,92.1,67.3,-0.041,1.83,100.1,98.3,-1.32,2011.0,1455,Wichita St
29.0,Villanova,BE,21-12,17.34,109.9,92.6,68.3,-0.04,9.78,105.1,95.4,1.19,2011.0,1437,Villanova
30.0,Michigan,B10,21-14,17.32,108.6,91.3,64.2,-0.014,12.7,107.5,94.8,2.97,2011.0,1276,Michigan
32.0,Kansas St,B12,23-11,17.06,106.3,89.2,69.7,0.011,9.88,105.5,95.7,3.34,2011.0,1243,Kansas St
33.0,Vanderbilt,SEC,23-11,16.91,112.5,95.5,68.9,-0.05,7.58,103.4,95.8,5.12,2011.0,1435,Vanderbilt
35.0,Florida St,ACC,23-11,16.35,100.2,83.9,69.9,-0.016,6.87,103.6,96.7,-1.82,2011.0,1199,Florida St
36.0,Gonzaga,WCC,25-10,16.1,107.7,91.6,69.4,-0.007,4.49,103.4,98.9,6.26,2011.0,1211,Gonzaga
37.0,Butler,Horz,28-10,16.02,108.4,92.3,66.4,0.034,5.38,102.7,97.3,6.97,2011.0,1139,Butler
39.0,Xavier,A10,24-8,15.67,108.9,93.3,66.9,0.037,4.79,102.1,97.3,7.05,2011.0,1462,Xavier
40.0,Virginia Tech,ACC,22-12,15.57,105.4,89.9,67.0,-0.029,6.85,103.3,96.4,0.87,2011.0,1439,Virginia Tech
42.0,St Mary's CA,WCC,25-9,15.21,113.2,98.0,67.9,-0.025,2.28,101.7,99.4,2.8,2011.0,1388,St Mary's CA
44.0,Maryland,ACC,19-14,14.92,105.7,90.7,72.4,-0.091,6.64,104.3,97.6,-1.06,2011.0,1268,Maryland
45.0,Michigan St,B10,19-15,14.77,105.1,90.3,68.1,0.009,13.96,107.6,93.6,8.73,2011.0,1277,Michigan St
50.0,Northwestern,B10,20-14,13.76,111.6,97.8,66.0,0.008,9.17,105.2,96.1,-5.59,2011.0,1321,Northwestern
262.0,Northwestern,Slnd,18-14,-8.78,97.2,106.0,74.4,0.1,-8.14,95.0,103.2,-6.74,2011.0,1321,Northwestern
52.0,UCLA,P10,23-11,13.32,104.7,91.3,68.6,0.033,8.18,104.5,96.3,4.61,2011.0,1417,UCLA
53.0,VA Commonwealth,CAA,28-12,13.26,108.7,95.4,67.7,0.021,4.77,102.5,97.7,2.25,2011.0,1433,VA Commonwealth
56.0,USC,P10,19-15,13.03,103.6,90.5,65.3,-0.05,7.98,104.7,96.7,4.16,2011.0,1425,USC
58.0,Minnesota,B10,17-14,12.88,106.4,93.5,67.4,-0.018,11.09,107.1,96.0,2.78,2011.0,1278,Minnesota
59.0,Seton Hall,BE,13-18,12.59,100.5,87.9,70.3,-0.117,11.27,105.7,94.5,4.57,2011.0,1371,Seton Hall
61.0,Miami FL,ACC,21-15,12.3,108.8,96.5,67.3,-0.05,6.9,103.1,96.2,-0.67,2011.0,1274,Miami FL
66.0,Iona,MAAC,25-12,11.34,109.8,98.4,71.3,-0.086,-1.79,97.8,99.6,0.15,2011.0,1233,Iona
73.0,Oklahoma St,B12,20-14,10.05,102.8,92.8,67.4,0.041,7.51,103.8,96.3,-0.59,2011.0,1329,Oklahoma St
79.0,Princeton,Ivy,25-7,8.94,103.6,94.6,65.2,0.091,-1.52,100.2,101.7,-1.23,2011.0,1343,Princeton
80.0,Baylor,B12,18-13,8.87,103.6,94.7,67.6,-0.045,5.15,101.8,96.7,-4.26,2011.0,1124,Baylor
81.0,Iowa St,B12,16-16,8.58,104.8,96.2,71.4,-0.095,5.32,103.1,97.8,-5.92,2011.0,1235,Iowa St
86.0,Providence,BE,15-17,7.07,106.5,99.5,73.8,-0.045,7.69,103.8,96.1,-3.91,2011.0,1344,Providence
92.0,Oregon,P10,21-18,6.74,102.5,95.8,69.2,0.019,7.14,104.0,96.9,0.27,2011.0,1332,Oregon
95.0,Bucknell,Pat,25-9,6.47,101.6,95.2,67.7,0.067,-3.58,99.1,102.6,-0.11,2011.0,1137,Bucknell
97.0,Dayton,A10,22-14,6.41,100.6,94.2,68.3,0.062,4.25,101.1,96.9,3.04,2011.0,1173,Dayton
98.0,Creighton,MVC,23-16,6.35,106.2,99.9,66.0,-0.041,1.2,100.7,99.5,-2.25,2011.0,1166,Creighton
100.0,Kent,MAC,25-12,6.06,101.4,95.3,69.4,0.053,0.41,100.0,99.6,2.29,2011.0,1245,Kent
103.0,Virginia,ACC,16-15,5.83,100.3,94.5,62.5,0.02,6.91,103.0,96.1,-1.9,2011.0,1438,Virginia
110.0,S Dakota St,Sum,19-12,5.16,111.3,106.2,70.6,-0.084,-3.86,99.3,103.1,-3.54,2011.0,1355,S Dakota St
112.0,ETSU,ASun,24-12,5.11,100.8,95.7,67.0,0.03,-2.13,99.3,101.4,4.64,2011.0,1190,ETSU
113.0,Arkansas,SEC,18-13,5.09,101.8,96.8,69.3,0.003,1.79,99.3,97.5,-5.64,2011.0,1116,Arkansas
119.0,Rhode Island,A10,20-14,3.98,99.5,95.6,68.6,0.05,1.95,101.2,99.2,1.27,2011.0,1348,Rhode Island
128.0,Vermont,AE,23-9,3.26,98.3,95.0,67.3,0.063,-5.86,96.0,101.9,-0.05,2011.0,1436,Vermont
130.0,South Carolina,SEC,14-16,3.13,97.1,94.0,69.7,0.01,6.45,103.6,97.2,-2.02,2011.0,1376,South Carolina
143.0,New Mexico St,WAC,16-17,2.22,101.9,99.7,69.3,-0.025,3.04,101.0,97.9,5.07,2011.0,1308,New Mexico St
160.0,Nevada,WAC,13-19,0.43,100.0,99.5,70.0,-0.05,1.57,101.1,99.6,1.63,2011.0,1305,Nevada
163.0,SMU,CUSA,20-15,0.33,99.9,99.5,62.4,-0.018,-1.03,99.4,100.5,-9.41,2011.0,1374,SMU
190.0,MTSU,SB,16-16,-2.14,94.3,96.5,69.0,-0.071,-5.98,97.3,103.3,-2.1,2011.0,1292,MTSU
203.0,UNC Wilmington,CAA,13-18,-3.72,98.8,102.5,64.1,0.002,-0.69,100.3,101.0,-4.28,2011.0,1423,UNC Wilmington
221.0,Winthrop,BSth,13-17,-4.73,92.5,97.2,68.6,-0.04,-3.51,98.1,101.6,4.32,2011.0,1457,Winthrop
246.0,UC Davis,BW,10-20,-6.97,99.3,106.3,69.4,-0.095,-2.09,98.9,101.0,-1.17,2011.0,1413,UC Davis
248.0,Mt St Mary's,NEC,11-21,-7.5,91.1,98.6,66.9,-0.02,-3.1,97.6,100.7,0.11,2011.0,1291,Mt St Mary's
259.0,Wake Forest,ACC,8-24,-8.44,96.8,105.2,71.6,0.009,6.36,102.9,96.5,-2.45,2011.0,1448,Wake Forest
275.0,Troy,SB,8-21,-10.03,94.4,104.4,72.8,-0.037,-3.09,98.6,101.7,3.31,2011.0,1407,Troy
276.0,TX Southern,SWAC,19-13,-10.17,89.4,99.6,68.5,0.136,-11.19,92.0,103.2,4.08,2011.0,1411,TX Southern
285.0,FL Gulf Coast,ASun,10-20,-10.92,90.7,101.7,70.4,-0.001,-3.91,97.9,101.8,-2.66,2011.0,1195,FL Gulf Coast
292.0,Jacksonville St,OVC,5-25,-11.92,91.7,103.6,64.6,-0.078,-5.73,97.0,102.7,-6.05,2011.0,1240,Jacksonville St
299.0,North Dakota,GWC,19-15,-12.56,89.0,101.6,69.4,0.094,-10.79,95.0,105.8,-2.84,2011.0,1315,North Dakota
313.0,NC Central,ind,15-15,-14.71,92.0,106.7,68.7,0.088,-10.18,94.3,104.5,-10.21,2011.0,1300,NC Central
,,,,,,,,,,,,,,1297,N Kentucky
,,,,,,,,,,,,,,1309,New Orleans
1.0,Kentucky,SEC,38-2,32.55,119.6,87.1,67.2,0.033,8.7,105.4,96.7,2.81,2012.0,1246,Kentucky
3.0,Michigan St,B10,29-8,27.81,112.1,84.2,65.8,-0.027,11.15,107.3,96.1,2.48,2012.0,1277,Michigan St
4.0,Kansas,B12,32-7,26.87,111.4,84.6,68.2,0.028,11.51,107.1,95.6,7.72,2012.0,1242,Kansas
6.0,North Carolina,ACC,32-6,25.44,113.4,88.0,72.6,0.017,8.37,105.9,97.5,4.6,2012.0,1314,North Carolina
8.0,Wisconsin,B10,26-10,24.03,111.1,87.1,59.7,-0.017,9.76,106.3,96.6,-0.03,2012.0,1458,Wisconsin
10.0,Florida,SEC,26-11,22.47,117.8,95.3,65.8,-0.044,8.3,104.2,95.9,1.87,2012.0,1196,Florida
11.0,Wichita St,MVC,27-6,22.36,113.4,91.1,67.4,-0.016,4.58,103.7,99.1,5.39,2012.0,1455,Wichita St
13.0,Baylor,B12,30-8,21.25,113.4,92.1,67.6,0.058,10.02,106.6,96.5,0.0,2012.0,1124,Baylor
16.0,Vanderbilt,SEC,25-11,20.9,112.9,92.0,66.3,-0.048,9.48,106.5,97.0,6.03,2012.0,1435,Vanderbilt
17.0,Louisville,BE,30-10,20.66,103.6,83.0,67.9,0.031,11.18,107.4,96.2,4.42,2012.0,1257,Louisville
18.0,Marquette,BE,27-8,20.2,108.8,88.6,71.7,0.042,8.9,105.1,96.2,1.33,2012.0,1266,Marquette
19.0,Duke,ACC,27-7,19.67,114.9,95.2,68.5,0.058,9.37,106.1,96.7,10.13,2012.0,1181,Duke
21.0,Gonzaga,WCC,26-7,18.37,110.4,92.0,67.0,-0.019,3.29,103.7,100.4,4.39,2012.0,1211,Gonzaga
22.0,Michigan,B10,24-10,17.5,111.5,94.0,62.0,0.058,10.97,107.3,96.4,1.52,2012.0,1276,Michigan
23.0,Kansas St,B12,22-11,17.49,107.2,89.7,68.0,-0.024,8.81,105.7,96.9,-0.42,2012.0,1243,Kansas St
24.0,Florida St,ACC,25-10,17.11,104.8,87.7,68.1,0.035,8.67,105.7,97.0,4.37,2012.0,1199,Florida St
27.0,Iowa St,B12,23-11,16.64,111.1,94.5,67.8,-0.004,8.24,105.7,97.5,-0.83,2012.0,1235,Iowa St
28.0,Creighton,MVC,29-6,16.47,116.6,100.1,67.7,0.079,3.93,103.2,99.2,0.59,2012.0,1166,Creighton
30.0,Purdue,B10,22-13,16.25,113.4,97.1,65.9,-0.003,9.6,107.0,97.4,0.46,2012.0,1345,Purdue
31.0,Cincinnati,BE,26-11,15.99,106.9,90.9,64.7,0.024,7.56,104.2,96.6,-5.49,2012.0,1153,Cincinnati
33.0,Virginia,ACC,22-10,15.86,102.4,86.5,61.5,-0.025,4.67,103.5,98.9,-3.71,2012.0,1438,Virginia
34.0,St Mary's CA,WCC,27-6,15.46,111.7,96.2,65.0,0.037,0.78,102.6,101.8,-0.07,2012.0,1388,St Mary's CA
43.0,Notre Dame,BE,22-12,14.19,108.1,93.9,62.0,0.032,7.74,105.0,97.2,-0.71,2012.0,1323,Notre Dame
45.0,West Virginia,BE,19-14,13.49,108.7,95.2,65.5,-0.019,9.21,106.0,96.8,4.75,2012.0,1452,West Virginia
46.0,VA Commonwealth,CAA,29-7,13.48,104.3,90.8,66.4,0.025,0.89,100.3,99.4,2.24,2012.0,1433,VA Commonwealth
48.0,Miami FL,ACC,20-13,13.12,108.3,95.2,66.0,-0.037,6.32,103.9,97.6,2.85,2012.0,1274,Miami FL
49.0,MTSU,SB,27-7,12.88,105.8,92.9,67.5,-0.003,-0.19,101.3,101.5,3.65,2012.0,1292,MTSU
51.0,Arizona,P12,23-12,12.74,104.8,92.1,66.2,-0.05,4.67,103.9,99.2,3.51,2012.0,1112,Arizona
52.0,Minnesota,B10,23-15,12.73,105.8,93.1,65.3,0.016,8.97,106.4,97.4,-0.57,2012.0,1278,Minnesota
53.0,Xavier,A10,23-13,12.63,106.0,93.4,68.0,0.03,7.92,105.9,98.0,6.4,2012.0,1462,Xavier
54.0,Iona,MAAC,25-8,12.24,112.7,100.5,71.9,-0.01,-1.63,100.5,102.1,3.65,2012.0,1233,Iona
55.0,Seton Hall,BE,21-13,12.2,104.0,91.8,66.8,0.001,6.81,104.8,98.0,-0.72,2012.0,1371,Seton Hall
59.0,UCLA,P12,19-14,11.83,106.1,94.2,66.2,-0.073,5.1,102.9,97.8,2.96,2012.0,1417,UCLA
60.0,Oregon,P12,24-10,11.79,111.5,99.7,68.8,0.04,4.87,102.8,98.0,0.57,2012.0,1332,Oregon
61.0,S Dakota St,Sum,27-8,11.67,110.9,99.2,66.5,0.031,-2.1,101.3,103.4,0.49,2012.0,1355,S Dakota St
65.0,New Mexico St,WAC,26-10,11.22,106.6,95.4,70.8,-0.041,-0.52,101.8,102.3,0.03,2012.0,1308,New Mexico St
69.0,Dayton,A10,20-13,10.76,110.4,99.7,66.0,-0.015,5.33,103.4,98.1,2.97,2012.0,1173,Dayton
72.0,Northwestern,B10,19-14,10.5,112.0,101.5,64.2,0.048,9.18,106.0,96.8,0.64,2012.0,1321,Northwestern
227.0,Northwestern,Slnd,16-16,-5.38,94.6,100.0,71.0,0.006,-4.56,98.4,103.0,0.57,2012.0,1321,Northwestern
83.0,Virginia Tech,ACC,16-17,8.63,104.0,95.4,63.7,-0.094,6.76,104.0,97.3,2.93,2012.0,1439,Virginia Tech
85.0,Villanova,BE,13-19,8.49,106.4,97.9,68.7,-0.097,9.3,105.5,96.2,3.36,2012.0,1437,Villanova
89.0,Bucknell,Pat,25-10,8.14,104.8,96.6,64.8,0.009,-3.1,99.7,102.8,1.09,2012.0,1137,Bucknell
97.0,Oklahoma St,B12,15-18,7.58,104.3,96.7,66.9,-0.017,10.4,106.3,95.9,4.75,2012.0,1329,Oklahoma St
100.0,Princeton,Ivy,20-12,7.27,104.9,97.6,64.2,-0.017,-0.42,100.4,100.8,1.09,2012.0,1343,Princeton
106.0,Nevada,WAC,28-7,6.49,103.2,96.7,66.4,0.128,-1.46,101.1,102.5,-3.82,2012.0,1305,Nevada
116.0,Butler,Horz,22-15,5.31,97.0,91.7,65.8,0.021,1.82,101.5,99.7,7.03,2012.0,1139,Butler
117.0,Kent,MAC,21-12,5.26,102.8,97.5,68.6,0.005,-0.05,100.4,100.5,-2.33,2012.0,1245,Kent
118.0,Vermont,AE,24-12,5.18,102.4,97.3,63.9,-0.022,-5.87,97.1,103.0,-1.35,2012.0,1436,Vermont
126.0,Arkansas,SEC,18-14,4.08,103.7,99.6,71.0,0.029,4.08,102.2,98.1,-2.88,2012.0,1116,Arkansas
127.0,Providence,BE,15-17,4.08,107.2,103.1,66.7,-0.012,5.57,103.0,97.4,-8.4,2012.0,1344,Providence
133.0,Maryland,ACC,17-15,3.37,104.0,100.6,67.7,0.091,6.46,104.2,97.8,0.53,2012.0,1268,Maryland
146.0,ETSU,ASun,17-14,2.22,99.1,96.9,66.3,-0.016,-1.59,101.8,103.4,-2.41,2012.0,1190,ETSU
164.0,South Carolina,SEC,10-21,0.64,100.7,100.0,63.3,-0.071,7.24,104.5,97.2,-1.73,2012.0,1376,South Carolina
177.0,FL Gulf Coast,ASun,15-17,-0.92,102.4,103.4,68.6,-0.029,-1.35,101.2,102.5,-4.02,2012.0,1195,FL Gulf Coast
200.0,SMU,CUSA,13-19,-2.92,95.3,98.2,61.1,-0.031,1.21,101.8,100.6,-2.37,2012.0,1374,SMU
203.0,Jacksonville St,OVC,15-18,-3.19,95.8,99.0,65.0,-0.083,-5.22,98.9,104.1,-2.55,2012.0,1240,Jacksonville St
211.0,Wake Forest,ACC,13-18,-3.87,99.4,103.3,67.5,0.057,3.74,102.8,99.0,-1.71,2012.0,1448,Wake Forest
213.0,NC Central,MEAC,17-15,-4.03,95.1,99.1,67.4,-0.062,-8.33,96.2,104.5,2.54,2012.0,1300,NC Central
220.0,USC,P12,6-26,-4.7,88.3,93.0,61.8,-0.1,6.8,104.5,97.7,4.06,2012.0,1425,USC
225.0,Rhode Island,A10,7-24,-5.11,99.9,105.0,68.6,-0.048,3.73,102.8,99.0,0.32,2012.0,1348,Rhode Island
238.0,UNC Wilmington,CAA,10-21,-6.34,97.7,104.0,67.6,0.008,0.63,101.4,100.7,0.62,2012.0,1423,UNC Wilmington
259.0,North Dakota,GWC,17-15,-8.42,93.1,101.5,68.0,0.025,-8.48,96.6,105.1,-1.97,2012.0,1315,North Dakota
261.0,Winthrop,BSth,12-20,-8.7,92.0,100.6,63.7,-0.022,-4.38,100.3,104.7,3.41,2012.0,1457,Winthrop
267.0,TX Southern,SWAC,15-18,-8.98,89.9,98.9,67.1,-0.013,-10.73,93.7,104.4,7.42,2012.0,1411,TX Southern
268.0,Troy,SB,10-18,-9.09,102.4,111.5,68.5,0.018,-1.18,99.9,101.0,0.39,2012.0,1407,Troy
294.0,Mt St Mary's,NEC,8-21,-12.22,90.7,102.9,64.6,-0.052,-4.96,98.2,103.2,-0.72,2012.0,1291,Mt St Mary's
328.0,UC Davis,BW,5-26,-18.75,91.8,110.6,66.8,-0.039,-3.36,100.0,103.4,-4.88,2012.0,1413,UC Davis
,,,,,,,,,,,,,,1297,N Kentucky
,,,,,,,,,,,,,,1309,New Orleans
1.0,Louisville,BE,35-5,32.9,116.0,83.1,66.8,-0.016,10.43,106.1,95.7,4.3,2013.0,1257,Louisville
2.0,Florida,SEC,29-8,31.18,115.5,84.3,63.4,-0.089,7.39,104.5,97.2,5.64,2013.0,1196,Florida
4.0,Michigan,B10,31-8,27.8,120.2,92.4,65.1,-0.006,11.39,107.1,95.7,0.24,2013.0,1276,Michigan
5.0,Gonzaga,WCC,32-3,27.79,118.6,90.9,64.5,0.026,5.03,104.4,99.4,6.74,2013.0,1211,Gonzaga
6.0,Duke,ACC,30-6,26.95,117.3,90.4,68.2,0.033,10.85,107.6,96.7,9.73,2013.0,1181,Duke
8.0,Kansas,B12,31-6,25.17,110.9,85.7,67.7,0.01,8.71,106.4,97.7,6.76,2013.0,1242,Kansas
10.0,Michigan St,B10,27-9,24.14,110.8,86.7,64.5,0.001,12.79,107.9,95.1,2.64,2013.0,1277,Michigan St
12.0,Wisconsin,B10,23-12,22.51,106.4,83.9,61.9,-0.033,12.06,108.0,95.9,1.06,2013.0,1458,Wisconsin
13.0,Miami FL,ACC,29-7,22.36,111.9,89.5,63.8,0.029,8.57,106.5,97.9,5.49,2013.0,1274,Miami FL
14.0,Arizona,P12,27-8,21.86,113.5,91.7,66.7,-0.011,8.69,105.5,96.8,3.78,2013.0,1112,Arizona
15.0,Creighton,MVC,28-8,21.7,116.4,94.7,65.2,-0.009,6.34,104.5,98.1,3.88,2013.0,1166,Creighton
17.0,Wichita St,MVC,30-9,20.27,110.0,89.8,65.3,-0.002,7.26,105.8,98.6,2.66,2013.0,1455,Wichita St
18.0,VA Commonwealth,A10,27-9,20.23,112.2,91.9,67.8,0.002,6.08,105.0,98.9,2.08,2013.0,1433,VA Commonwealth
20.0,Minnesota,B10,21-13,19.82,112.9,93.1,63.6,-0.036,12.08,107.6,95.5,4.88,2013.0,1278,Minnesota
21.0,St Mary's CA,WCC,28-7,19.31,114.3,95.0,64.2,0.024,3.86,103.9,100.0,1.51,2013.0,1388,St Mary's CA
24.0,Oklahoma St,B12,24-9,18.66,107.2,88.5,67.4,-0.016,7.36,106.0,98.6,0.88,2013.0,1329,Oklahoma St
26.0,Marquette,BE,26-9,18.29,111.5,93.2,63.9,0.09,9.99,104.9,95.0,1.65,2013.0,1266,Marquette
27.0,Kansas St,B12,27-8,18.13,111.7,93.6,63.0,0.051,7.58,105.2,97.6,0.06,2013.0,1243,Kansas St
28.0,Baylor,B12,23-14,17.84,112.5,94.6,68.1,-0.09,8.24,105.4,97.2,4.14,2013.0,1124,Baylor
30.0,Iowa St,B12,23-12,17.58,115.7,98.1,69.8,-0.046,7.41,104.5,97.1,-0.49,2013.0,1235,Iowa St
32.0,North Carolina,ACC,25-11,17.13,110.4,93.3,70.9,0.038,8.95,105.5,96.6,1.14,2013.0,1314,North Carolina
35.0,Oregon,P12,28-9,16.75,104.9,88.1,68.9,0.053,6.75,104.2,97.4,-3.88,2013.0,1332,Oregon
36.0,Notre Dame,BE,25-10,16.62,112.7,96.1,62.2,0.046,8.19,104.6,96.4,-1.71,2013.0,1323,Notre Dame
40.0,Cincinnati,BE,22-12,15.6,104.1,88.5,63.9,-0.012,8.69,105.0,96.3,-1.82,2013.0,1153,Cincinnati
41.0,Virginia,ACC,23-12,15.46,105.6,90.2,61.2,-0.066,4.37,102.7,98.3,-4.21,2013.0,1438,Virginia
42.0,Butler,A10,27-9,15.38,108.7,93.4,65.0,0.088,7.74,105.6,97.8,4.93,2013.0,1139,Butler
44.0,MTSU,SB,28-6,14.72,105.3,90.6,65.1,0.052,-2.26,99.4,101.7,4.9,2013.0,1292,MTSU
46.0,UCLA,P12,25-10,14.49,109.2,94.7,69.4,0.068,9.24,105.2,96.0,4.15,2013.0,1417,UCLA
52.0,Maryland,ACC,25-13,13.6,105.3,91.7,67.5,-0.032,5.3,104.6,99.3,-6.83,2013.0,1268,Maryland
53.0,Villanova,BE,20-14,13.57,104.4,90.8,67.5,0.011,9.56,105.3,95.7,1.49,2013.0,1437,Villanova
55.0,Kentucky,SEC,21-12,13.22,109.5,96.3,66.2,-0.005,5.67,103.8,98.2,2.6,2013.0,1246,Kentucky
58.0,Bucknell,Pat,28-6,12.71,105.4,92.7,63.3,-0.014,-1.87,101.0,102.8,1.19,2013.0,1137,Bucknell
67.0,Dayton,A10,17-14,11.31,110.7,99.4,66.1,-0.1,4.99,103.1,98.1,1.91,2013.0,1173,Dayton
69.0,Providence,BE,19-15,10.75,106.0,95.3,66.1,-0.026,6.87,103.9,97.0,-3.22,2013.0,1344,Providence
74.0,Purdue,B10,16-18,10.26,105.1,94.8,66.4,-0.059,9.25,105.6,96.4,-0.39,2013.0,1345,Purdue
78.0,Xavier,A10,17-14,9.51,104.1,94.6,63.3,-0.055,6.03,104.5,98.5,4.36,2013.0,1462,Xavier
80.0,Arkansas,SEC,19-13,9.28,104.8,95.5,70.3,0.004,5.44,103.0,97.6,-0.58,2013.0,1116,Arkansas
87.0,Princeton,Ivy,17-11,7.89,106.9,99.0,60.9,-0.071,-1.7,100.2,101.9,2.35,2013.0,1343,Princeton
88.0,New Mexico St,WAC,24-11,7.72,102.9,95.2,65.1,0.04,0.44,101.4,101.0,4.14,2013.0,1308,New Mexico St
89.0,Iona,MAAC,20-14,7.46,112.5,105.0,70.6,-0.07,0.54,100.8,100.3,2.94,2013.0,1233,Iona
96.0,S Dakota St,Sum,25-10,6.81,110.1,103.3,63.9,0.03,-3.83,100.4,104.2,1.61,2013.0,1355,S Dakota St
97.0,Vanderbilt,SEC,16-17,6.77,100.7,94.0,61.6,-0.026,6.06,104.2,98.1,2.5,2013.0,1435,Vanderbilt
104.0,USC,P12,14-18,6.32,101.4,95.0,67.2,-0.015,9.71,105.9,96.1,6.76,2013.0,1425,USC
105.0,FL Gulf Coast,ASun,26-11,6.25,103.1,96.8,69.2,0.039,-3.13,99.8,102.9,4.36,2013.0,1195,FL Gulf Coast
117.0,Seton Hall,BE,15-18,4.96,102.4,97.4,65.0,-0.026,6.83,103.9,97.1,-4.53,2013.0,1371,Seton Hall
120.0,Florida St,ACC,18-16,4.46,105.3,100.8,65.9,0.085,8.05,104.9,96.8,1.6,2013.0,1199,Florida St
121.0,Kent,MAC,21-14,4.43,106.0,101.5,66.5,-0.019,-0.57,100.3,100.9,-0.08,2013.0,1245,Kent
123.0,West Virginia,B12,13-19,4.19,103.1,98.9,65.0,-0.042,7.2,106.0,98.8,2.29,2013.0,1452,West Virginia
132.0,Northwestern,B10,13-19,3.2,102.5,99.3,61.8,-0.023,10.36,106.4,96.1,-0.91,2013.0,1321,Northwestern
138.0,Northwestern,Slnd,23-9,2.87,104.9,102.0,72.7,0.075,-4.61,97.8,102.4,4.64,2013.0,1321,Northwestern
134.0,Vermont,AE,21-12,3.14,101.2,98.0,62.4,-0.005,-4.55,98.5,103.0,-2.41,2013.0,1436,Vermont
137.0,Wake Forest,ACC,13-18,2.89,99.6,96.7,69.2,-0.007,6.61,105.5,98.9,-0.79,2013.0,1448,Wake Forest
158.0,TX Southern,SWAC,17-14,0.61,103.5,102.9,64.6,-0.061,-8.39,95.6,103.9,6.94,2013.0,1411,TX Southern
164.0,NC Central,MEAC,22-9,0.31,97.4,97.1,64.2,0.026,-8.12,94.8,102.9,0.01,2013.0,1300,NC Central
169.0,Virginia Tech,ACC,13-19,-0.1,105.2,105.3,67.6,0.031,7.23,104.9,97.7,-1.92,2013.0,1439,Virginia Tech
172.0,Nevada,MWC,12-19,-0.31,103.1,103.4,66.9,0.038,7.08,105.1,98.0,0.47,2013.0,1305,Nevada
185.0,SMU,CUSA,15-17,-1.25,98.9,100.1,63.9,-0.07,-2.52,99.6,102.1,-5.64,2013.0,1374,SMU
193.0,Rhode Island,A10,8-21,-2.23,98.6,100.8,63.3,-0.043,5.7,104.6,98.9,3.03,2013.0,1348,Rhode Island
204.0,Jacksonville St,OVC,17-11,-3.42,100.6,104.0,62.7,0.087,-4.79,98.8,103.6,-6.29,2013.0,1240,Jacksonville St
209.0,South Carolina,SEC,14-18,-3.63,99.8,103.5,66.5,0.028,1.28,100.3,99.0,-6.81,2013.0,1376,South Carolina
211.0,Mt St Mary's,NEC,18-14,-3.8,100.7,104.5,67.5,0.117,-5.0,99.9,104.9,0.23,2013.0,1291,Mt St Mary's
215.0,UC Davis,BW,14-17,-4.05,102.7,106.7,67.4,-0.009,-3.49,100.8,104.3,-4.26,2013.0,1413,UC Davis
244.0,N Kentucky,ASun,11-16,-7.26,95.5,102.8,60.1,-0.033,-6.78,97.9,104.7,-3.93,2013.0,1297,N Kentucky
251.0,North Dakota,BSky,16-17,-7.76,95.4,103.2,67.6,0.038,-6.6,99.1,105.7,-0.12,2013.0,1315,North Dakota
274.0,Troy,SB,12-21,-10.31,97.1,107.4,61.2,0.005,-5.14,97.7,102.8,-7.87,2013.0,1407,Troy
278.0,Winthrop,BSth,14-17,-10.63,93.5,104.1,61.6,0.037,-5.58,97.5,103.1,1.69,2013.0,1457,Winthrop
287.0,UNC Wilmington,CAA,10-20,-11.86,95.2,107.1,66.9,0.022,-3.01,100.0,103.0,-1.31,2013.0,1423,UNC Wilmington
319.0,ETSU,ASun,10-22,-15.68,93.1,108.8,65.3,0.063,-2.76,100.5,103.3,4.8,2013.0,1190,ETSU
345.0,New Orleans,ind,8-18,-25.19,85.8,111.0,71.1,0.042,-8.3,96.5,104.8,-8.3,2013.0,1309,New Orleans
