Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,SOS OppO,SOS OppD,NCSOS AdjEM
260,New Hampshire,AE,13-17,-9.58,87.9,97.5,67.3,0.004,-6.42,95,101.4,-5.34
261,Elon,SC,9-23,-9.78,92.7,102.5,70.3,-0.022,-2.15,98.5,100.6,-0.54
262,Delaware St.,MEAC,17-12,-9.95,92.9,102.8,61.3,0.078,-9.47,93.1,102.6,0.89
263,Jacksonville St.,OVC,11-19,-10.11,94.3,104.4,69.3,-0.06,-4.97,97.4,102.4,-4.66
264,Yale,Ivy,12-19,-10.12,93,103.1,69.1,-0.036,-6.18,95.8,102,-5.98
265,Eastern Washington,BSky,9-21,-10.2,93.1,103.3,71.5,-0.009,-0.8,100.2,101,1.38
266,North Florida,ASun,13-18,-10.23,87.9,98.1,66.3,0.095,-2.66,97.8,100.4,4.29
267,Texas Southern,SWAC,17-16,-10.23,89.8,100.1,69.8,-0.007,-11.87,90.7,102.5,4.77
268,Kennesaw St.,ASun,13-20,-10.35,94.7,105,67.4,0.012,-4.68,96.1,100.8,-4.01
269,Western Illinois,Sum,13-17,-10.42,87.7,98.1,63.8,-0.017,-6.96,95.6,102.5,-7.88
270,LIU Brooklyn,NEC,14-17,-10.83,96,106.8,70.1,0.01,-9.93,92,101.9,-2.92
271,Binghamton,AE,13-18,-10.87,94.2,105.1,65.6,0.045,-3.96,97.2,101.1,0.64
272,Norfolk St.,MEAC,11-19,-10.87,92.8,103.6,74.3,-0.025,-8.28,93.2,101.4,-1.04
273,Nicholls St.,Slnd,11-19,-11.03,95.7,106.7,64.7,0.013,-3.17,98.4,101.5,3.42
274,Jackson St.,SWAC,19-13,-11.14,89.3,100.5,67.5,0.142,-11.85,90.8,102.7,2.75
275,UNC Asheville,BSth,15-16,-11.18,93.7,104.9,73.6,0.067,-7.1,94.9,102,7.23
276,Sacred Heart,NEC,14-15,-11.19,95.5,106.7,72.1,0.011,-11.11,92.5,103.6,-5.99
277,USC Upstate,ASun,6-22,-11.37,87.9,99.3,68.5,-0.071,-2.63,97.2,99.8,4.1
278,Louisiana Monroe,SB,12-19,-11.52,94.8,106.3,69,0.048,-5.18,97,102.1,-3.85
279,McNeese St.,Slnd,10-20,-11.56,95.5,107.1,68.1,-0.023,-5.35,96.4,101.7,-2.14
280,Idaho St.,BSky,7-22,-11.57,100,111.5,65.5,-0.009,0.79,100.6,99.8,5.78
281,Arkansas Little Rock,SB,8-22,-11.65,95.7,107.4,68.5,-0.023,-1.9,98.9,100.8,6.98
282,Lamar,Slnd,14-18,-11.75,93.6,105.3,70.6,0.052,-4.48,96.8,101.3,-3.35
283,Liberty,BSth,15-16,-11.77,92.8,104.6,68.8,0.049,-7.98,94.6,102.6,3.53
284,Cal St. Bakersfield,ind,7-22,-11.84,92.4,104.2,70.1,-0.015,-3.15,98.6,101.7,-2.77
