Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS AdjEM
263,UNC Asheville,BSth,12-14,-9.71,96.6,106.3,70.8,0.051,-8.03,96.4,104.5,2.37
264,Loyola Marymount,WCC,8-20,-9.85,96.9,106.7,70.6,0.014,-0.22,101.9,102.1,-3.39
265,Evansville,MVC,7-21,-9.89,95.9,105.8,70.1,0.003,1.11,103.8,102.7,1.01
266,South Carolina St.,MEAC,14-15,-10.48,94.1,104.6,69.8,0.109,-7.7,97.8,105.5,3.8
267,Idaho St.,BSky,8-17,-10.72,94.5,105.2,70.8,0.014,-4.8,99.6,104.4,-5.11
268,Stetson,ASun,9-16,-11.01,95.9,106.9,73.3,0.054,-3.76,101.2,104.9,5.46
269,Bucknell,Pat,13-16,-11.27,92.3,103.6,66.8,0.059,-8.48,95.6,104.1,-7.24
270,Navy,Pat,9-20,-11.49,91.9,103.4,71.6,-0.089,-6.38,98.3,104.7,-3.47
271,North Carolina A&T,MEAC,10-17,-11.82,90.8,102.6,71.8,0.024,-7.83,97.5,105.3,3.71
272,Alabama St.,SWAC,18-12,-12.61,88,100.6,65.8,0.082,-14.99,94.1,109.1,-6.07
273,Southeast Missouri St.,OVC,4-22,-12.64,99.2,111.9,69.1,-0.117,-3.2,101.2,104.4,-1.76
274,Towson,CAA,11-18,-12.88,88.3,101.2,68.2,0.112,-2.62,99.2,101.8,-6.94
275,Hartford,AE,14-18,-12.88,89.8,102.6,66.3,0.049,-9.23,96.3,105.5,-3.12
276,Sacramento St.,BSky,7-19,-13,94.4,107.4,74.5,-0.076,-7,97.8,104.8,-10.34
277,Idaho,BW,8-19,-13.36,90.2,103.5,61.2,0.062,-1.18,100.8,102,-4.15
278,Charleston Southern,BSth,10-17,-13.41,88.6,102.1,69.2,0.016,-8.11,96.4,104.5,3.7
279,Florida A&M,MEAC,9-19,-13.51,91.7,105.2,70.5,-0.019,-8.4,96.2,104.6,6.05
280,Northeastern,AE,7-21,-13.55,95.8,109.4,73.4,-0.129,-9.43,95.3,104.7,-3.73
281,Elon,BSth,11-16,-13.56,89,102.5,73.4,0.048,-8.84,96,104.8,3.06
282,Mississippi Valley St.,SWAC,11-16,-13.65,99,112.7,71.3,-0.041,-13.76,94.4,108.2,0.12
283,Maine,AE,12-18,-13.93,92,106,65.4,0.007,-10.69,96,106.7,-7.27
284,Cal St. Fullerton,BW,4-22,-14.27,92.7,107,67.3,-0.056,-0.85,101.1,101.9,-2.63
285,Bethune Cookman,MEAC,12-17,-14.59,92.8,107.3,70.5,0.038,-10.06,95.4,105.5,-0.34
286,Youngstown St.,Horz,4-23,-14.66,93.6,108.2,68.7,-0.003,-0.02,102.5,102.5,-5.55
287,New Hampshire,AE,10-17,-14.91,94.8,109.7,71.6,0.017,-9.58,96,105.6,-0.32
288,Norfolk St.,MEAC,10-19,-14.96,91.6,106.6,71.8,0.062,-7.41,97.1,104.5,4.37
289,Army,Pat,10-16,-15.07,93.3,108.4,69.6,0.047,-9,96,105,-8.89
290,Robert Morris,NEC,12-18,-15.17,97.2,112.4,67.7,0.026,-10.21,96.5,106.7,1.96
291,IPFW,ind,3-21,-15.27,94.7,110,75.2,-0.033,-2.86,100.3,103.2,-2.11
292,Binghamton,AE,9-19,-15.39,90.5,105.9,69.1,-0.06,-10.81,95.8,106.6,-7.26
293,Jackson St.,SWAC,9-19,-15.43,94.8,110.2,71.2,-0.051,-11.35,94.8,106.2,6.25
294,Mercer,ASun,5-23,-15.58,94,109.6,70.1,-0.028,-1.94,101.9,103.8,6.79
295,Eastern Kentucky,OVC,4-20,-15.69,91.3,107,72.3,0.011,-3.16,102,105.2,-0.13
296,Maryland Eastern Shore,MEAC,11-18,-16.04,96.7,112.7,66,0.043,-9.83,95.5,105.4,-2.24
297,Birmingham Southern,BSth,11-14,-16.19,92.2,108.4,64,0.029,-12.49,93.2,105.7,-8.18
298,Lehigh,Pat,4-23,-16.21,90.9,107.1,71.5,-0.113,-7.89,96.9,104.8,-7.2
299,Sacred Heart,NEC,8-20,-16.59,94.2,110.8,73.7,-0.074,-11.03,96.2,107.2,-4.65
300,Southeastern Louisiana,Slnd,6-20,-16.66,87.1,103.8,62.5,-0.005,-6.44,97.3,103.7,-4.5
301,Campbell,ASun,7-19,-16.69,98.8,115.5,69.8,0.052,-4.54,100.1,104.7,-3.35
302,High Point,BSth,9-19,-17.02,94.6,111.7,68.8,0.017,-8.12,95.7,103.8,3.95
303,Cornell,Ivy,4-22,-17.47,87.1,104.5,66.2,-0.031,-3.07,99.8,102.9,-2.47
304,Dartmouth,Ivy,8-18,-17.68,97.9,115.6,63.6,0.037,-6.6,96.8,103.4,-10.03
305,St. Francis PA,NEC,6-21,-17.98,87.3,105.2,67.1,-0.073,-9.03,98,107,4.27
306,Coastal Carolina,BSth,8-20,-18.19,93.8,112,73.8,0.028,-8.43,95.9,104.3,-0.17
307,Eastern Michigan,MAC,5-24,-18.21,94.8,113,68.9,0.016,0.27,103.1,102.8,-2.35
308,Saint Peter's,MAAC,4-24,-18.6,90.8,109.4,72.5,0.007,-3.95,98.2,102.2,-3.94
309,Grambling St.,SWAC,8-19,-18.9,95.2,114.1,76.2,0.005,-10.65,96.2,106.8,10.45
310,Lipscomb,ind,4-21,-19.31,91.5,110.8,71.8,0.01,-5.68,98.9,104.6,-0.96
311,Texas Southern,SWAC,11-17,-19.54,92.6,112.1,70,0.078,-12.27,95.3,107.6,3.28
312,Stony Brook,AE,6-22,-20.06,89.3,109.4,67.8,0.001,-9.18,95.6,104.8,-4.21
313,Loyola MD,MAAC,5-23,-20.28,84.5,104.8,67.5,0.015,-6.23,97.4,103.6,-10.79
314,Albany,AE,8-20,-20.31,84.9,105.3,64.2,0.039,-10.28,96.1,106.4,-5.8
315,Coppin St.,MEAC,5-24,-21.02,85.9,106.9,66.1,-0.063,-8.71,96.7,105.4,-2.39
316,Morgan St.,MEAC,3-25,-21.25,87.9,109.2,71.4,-0.019,-7.76,97.5,105.3,0.37
317,Southern,SWAC,7-19,-21.55,91.9,113.4,74.5,-0.003,-13.32,94.6,107.9,-0.16
318,Fairleigh Dickinson,NEC,4-25,-22.73,91.3,114,71.9,-0.103,-11.62,95.2,106.8,-7.34
319,Prairie View A&M,SWAC,9-19,-23.34,87.6,110.9,76.1,0.076,-11.77,95.6,107.4,2.18
320,Chicago St.,MCon,1-26,-24.51,87.4,111.9,71.6,-0.027,-0.48,101.9,102.4,-2.15
321,LIU Brooklyn,NEC,5-22,-24.91,95.4,120.3,76,0.004,-8.91,96.8,105.7,1.05
322,Liberty,BSth,3-24,-25.11,83.6,108.7,73.5,0.01,-8.64,96.4,105,-1.94
323,Nicholls St.,Slnd,1-25,-26.25,85,111.2,70.4,-0.07,-3.21,99,102.2,8.09
324,Arkansas Pine Bluff,SWAC,2-26,-28.81,80.2,109,77.2,-0.014,-9.46,97.8,107.2,7.18
325,Mount St. Mary's,NEC,3-24,-29.37,83.1,112.4,68.7,0.019,-10.74,96.1,106.8,-3.72
326,Morris Brown,ind,4-23,-29.94,82.8,112.7,69.1,0.044,-4.6,98.9,103.5,-1.95
327,Savannah St.,ind,2-24,-31.19,76.1,107.3,68.5,-0.021,-6.41,98.2,104.6,-2.7
