Rank,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,NCSOS AdjEM
262,Army,Pat,15-16,-9.87,88.6,98.5,65.9,0.055,-6.04,96.4,102.5,-6.6
263,Kennesaw St.,ASun,13-18,-9.9,95.3,105.2,67.7,-0.037,-8.47,95.2,103.7,-4.76
264,McNeese St.,Slnd,15-17,-10.26,86.4,96.7,68.2,0.099,-4.5,98.5,103,-0.17
265,Maine,AE,12-18,-10.26,94.3,104.6,68.6,0.008,-5.8,97.2,103,-3.84
266,Texas Pan American,ind,14-15,-10.33,97.4,107.7,66.4,0.015,-7.08,96.6,103.7,-6.17
267,Navy,Pat,14-16,-10.36,91.4,101.7,66.9,0.032,-5.61,95.8,101.4,-6.22
268,Princeton,Ivy,11-17,-10.41,88,98.4,55.3,-0.007,-5.63,98.3,103.9,-5.88
269,Campbell,ASun,14-17,-10.46,95.2,105.6,75.8,-0.012,-8,95.9,103.9,-3.87
270,Louisiana Lafayette,SB,9-21,-10.63,93.9,104.6,68.7,-0.046,-4.34,99.3,103.7,2.39
271,UMBC,AE,12-19,-10.64,94.9,105.6,64.4,0.017,-4.95,97.2,102.1,-2.89
272,Nicholls St.,Slnd,8-22,-10.74,98.7,109.4,71.9,-0.02,-1.96,99.6,101.6,5.96
273,Montana St.,BSky,11-19,-10.87,93,103.9,68.4,-0.007,-4.07,99.8,103.9,-1.31
274,Portland,WCC,9-23,-10.92,90.4,101.4,66.7,0.01,0.99,102,101,0.45
275,Central Arkansas,Slnd,10-20,-11.18,91,102.2,66.7,-0.049,-5.53,97.6,103.1,-2.07
276,Stony Brook,AE,9-20,-11.69,88.3,100,66.9,-0.061,-6.43,97,103.4,-6.06
277,Elon,SC,7-23,-11.69,92.8,104.5,66.1,-0.053,-0.45,101,101.5,6.49
278,Richmond,A10,8-22,-11.78,96,107.8,62.3,0.031,-0.01,101.2,101.2,-1.18
279,Morehead St.,OVC,12-18,-11.95,93.2,105.1,66.1,-0.05,-8.29,96.3,104.6,-4.86
280,St. Francis NY,NEC,9-22,-11.97,88.9,100.9,67.9,-0.023,-6.23,97.9,104.1,0.5
281,Tennessee St.,OVC,12-20,-11.98,93.3,105.2,67,0.014,-6.26,97.6,103.9,1.3
282,Gardner Webb,ASun,9-21,-12.06,92.7,104.8,66.7,-0.051,-3.62,98.6,102.2,9.21
283,North Carolina A&T,MEAC,15-17,-12.35,92.2,104.5,73.2,-0.014,-12.29,93.5,105.8,-1.85
284,FIU,SB,12-17,-12.46,90.9,103.3,69.2,0.09,-5.46,99.3,104.7,-3.2
285,Colgate,Pat,10-19,-12.57,87.2,99.7,64.3,0.03,-4.79,96.4,101.2,-4
286,South Carolina St.,MEAC,13-17,-12.63,91.5,104.1,67.5,0,-12.04,93.5,105.6,-3.32
287,Wagner,NEC,11-19,-12.87,94.2,107.1,70.8,-0.021,-8.38,96.8,105.1,-5.42
288,Morgan St.,MEAC,13-18,-12.95,92.4,105.4,69,-0.035,-12.38,93.4,105.8,-5.76
289,New Hampshire,AE,10-20,-13.42,93,106.4,62.3,0.024,-6.29,96.7,103,-6.91
290,Sacramento St.,BSky,10-19,-13.45,91.4,104.9,77.1,0.028,-3.21,101.3,104.5,0.69
291,Radford,BSth,8-22,-13.45,91.2,104.7,72.1,-0.064,-5.11,98.2,103.3,-3.32
292,James Madison,CAA,7-23,-13.47,97.3,110.8,66,0.019,-1.14,100.5,101.6,-5.61
293,Dartmouth,Ivy,9-18,-13.83,91.3,105.2,65.3,0.026,-5.03,97.4,102.4,-5.3
294,Jacksonville St.,OVC,9-21,-13.86,93.3,107.2,68.3,-0.011,-7.98,97.3,105.3,-4.18
295,Delaware,CAA,5-26,-13.98,93,106.9,65.6,-0.06,-1.3,100.5,101.8,-3.5
296,Southeast Missouri St.,OVC,11-20,-14.1,94.6,108.7,73.4,0.031,-6.55,97.3,103.8,0.6
297,Mercer,ASun,13-17,-14.89,92.1,107,74.9,0.04,-8.45,95.6,104,-5.96
298,St. Bonaventure,A10,7-22,-15.03,94.9,109.9,70.1,0.017,-1.79,100.6,102.4,-4.7
299,Idaho,WAC,4-27,-15.15,90.2,105.4,68.8,0.024,2.11,101.7,99.6,-1.66
300,Arkansas Pine Bluff,SWAC,12-19,-15.16,84.6,99.7,67.5,0.014,-10.69,92.2,102.9,7.61
301,East Carolina,CUSA,6-24,-15.3,88.6,103.9,66.3,-0.022,0.7,100,99.3,-2.87
302,Coppin St.,MEAC,12-20,-15.34,89.5,104.9,67.5,0.063,-7.2,96,103.2,10.47
303,Southern,SWAC,10-21,-15.36,84.7,100.1,69.4,-0.03,-10.26,92.7,103,4.13
304,Eastern Illinois,OVC,10-20,-15.38,90.2,105.6,65.8,-0.009,-7.79,96.8,104.6,-3.78
305,St. Francis PA,NEC,8-21,-15.43,94.6,110.1,67.2,-0.065,-7.85,97.5,105.3,-3.69
306,UC Riverside,BW,7-24,-15.53,89.5,105.1,69.2,-0.057,-4.29,98.6,102.9,-6.96
307,LIU Brooklyn,NEC,10-19,-15.58,91.2,106.8,70.3,0.024,-8.81,96.4,105.2,-6.91
308,Texas St.,Slnd,9-20,-16.04,93.1,109.2,78,-0.022,-5.97,97.8,103.8,-5.62
309,Stetson,ASun,11-20,-16.11,93.7,109.8,67.3,0.047,-6.67,96.2,102.9,0
310,Lafayette,Pat,9-21,-16.29,94.5,110.8,68.9,0.033,-3.52,96.5,100.1,-2.45
311,Northern Colorado,BSky,4-24,-16.4,91,107.4,70.2,-0.079,-5.19,99,104.2,-5.14
312,Tennessee Martin,OVC,8-23,-16.57,90,106.6,68.8,-0.06,-7.35,96.8,104.2,-3
313,Western Illinois,MCon,7-23,-16.83,88.5,105.4,66.2,-0.064,-4.32,99.3,103.6,-7.87
314,Saint Peter's,MAAC,5-25,-16.86,84.7,101.5,67,-0.091,-7.58,97.4,105,-9.56
315,Grambling St.,SWAC,12-14,-17.11,89.6,106.7,70.3,0.049,-13.53,89.5,103,6.85
316,UTSA,Slnd,7-22,-17.31,82.6,99.9,66.7,-0.03,-3.79,99.2,103,0.23
317,Alabama St.,SWAC,10-20,-17.33,87,104.3,67,-0.01,-11.41,91.9,103.3,2.74
318,UC Davis,ind,5-23,-17.69,89.3,107,71.9,0.019,-3.49,99.2,102.7,-4.17
319,South Dakota St.,ind,6-24,-17.95,90.4,108.3,67.8,-0.034,-5.55,97.9,103.4,-4.98
320,Longwood,ind,9-22,-18.26,87.3,105.6,71.9,0.026,-6.04,96.7,102.8,-3.78
321,Texas Southern,SWAC,14-17,-18.37,86,104.3,72,0.09,-11.82,91.7,103.5,6.67
322,Norfolk St.,MEAC,11-19,-18.65,92.7,111.4,69.1,0.064,-10.35,94,104.3,1.82
323,Iona,MAAC,2-28,-19,83.8,102.8,67.9,-0.041,-4.63,98.7,103.4,-1.18
324,Charleston Southern,BSth,8-22,-19.14,91.5,110.6,67.5,-0.009,-4.37,98.4,102.8,-3.31
325,The Citadel,SC,7-23,-19.74,87.7,107.4,62.4,0.032,0.39,101,100.6,8.08
326,Savannah St.,ind,12-18,-19.96,83.4,103.4,66.8,0.101,-5.64,96.5,102.2,-4.24
327,Alcorn St.,SWAC,11-19,-20.91,88.2,109.1,72.4,0.067,-13.36,91.1,104.5,-4.08
328,Denver,SB,4-25,-21.02,89.3,110.3,69,-0.043,-6.74,98.3,105.1,-6.39
329,Winston Salem St.,ind,5-24,-21.1,85.5,106.6,71.1,-0.032,-0.38,99.5,99.9,-1.04
330,Howard,MEAC,9-22,-21.47,89.9,111.4,67.8,0.054,-11.8,93.6,105.4,-6.81
331,Alabama A&M,SWAC,10-20,-22.36,80.1,102.4,73.2,-0.041,-13.32,90.8,104.1,0.24
332,Prairie View A&M,SWAC,8-22,-23.11,80.5,103.6,72,0.003,-10.96,92,103,3.22
333,Bethune Cookman,MEAC,9-21,-24.19,79.3,103.5,62.5,0.035,-11.94,93.6,105.5,-3.31
334,NJIT,ind,5-24,-24.63,81.3,106,68.2,0.027,-7.76,96.8,104.6,-7.44
335,North Florida,ASun,3-26,-25.39,78.1,103.5,66,-0.099,-7.3,97,104.3,-3.59
336,Maryland Eastern Shore,MEAC,4-27,-26.5,82.9,109.4,69.6,-0.094,-11.09,94.1,105.2,-2.08
